TIME,RATE
150854400.926885,255.4668426513672
150854401.926885,271.69354248046875
150854402.926885,281.1978454589844
150854403.926885,256.0552978515625
150854404.926885,245.13345336914062
150854405.926885,235.71939086914062
150854406.926885,294.6551208496094
150854407.926885,251.96109008789062
150854408.926885,240.57962036132812
150854409.926885,276.5148620605469
150854410.926885,264.9875183105469
150854411.926885,239.01327514648438
150854412.926885,264.7442321777344
150854413.926885,287.7540588378906
150854414.926885,251.8088836669922
150854415.926885,257.01531982421875
150854416.926885,266.46905517578125
150854417.926885,242.09669494628906
150854418.926885,270.2532958984375
150854419.926885,238.64833068847656
150854420.926885,251.25503540039062
150854421.926885,223.95098876953125
150854422.926885,253.59690856933594
150854423.926885,252.8395538330078
150854424.926885,249.69805908203125
150854425.926885,270.0313415527344
150854426.926885,273.8921813964844
150854427.926885,264.90679931640625
150854428.926885,247.92236328125
150854429.926885,247.09628295898438
150854430.926885,263.022216796875
150854431.926885,241.74838256835938
150854432.926885,266.0050048828125
150854433.926885,255.1457977294922
150854434.926885,239.4477996826172
150854435.926885,223.41885375976562
150854436.926885,266.38427734375
150854437.926885,240.8127899169922
150854438.926885,241.39854431152344
150854439.926885,255.96510314941406
150854440.926885,244.96749877929688
150854441.926885,272.2549743652344
150854442.926885,280.3175048828125
150854443.926885,279.7986755371094
150854444.926885,254.20860290527344
150854445.926885,251.85162353515625
150854446.926885,244.37757873535156
150854447.926885,254.6424102783203
150854448.926885,256.8865661621094
150854449.926885,240.643310546875
150854450.926885,262.34454345703125
150854451.926885,254.60293579101562
150854452.926885,267.975341796875
150854453.926885,238.6744842529297
150854454.926885,282.62786865234375
150854455.926885,270.2625427246094
150854456.926885,282.7337951660156
150854457.926885,283.7756042480469
150854458.926885,237.65908813476562
150854459.926885,255.52110290527344
150854460.926885,243.6208038330078
150854461.926885,260.4183044433594
150854462.926885,259.0355529785156
150854463.926885,269.90203857421875
150854464.926885,247.6242218017578
150854465.926885,221.0411834716797
150854466.926885,284.2544250488281
150854467.926885,264.0093078613281
150854468.926885,274.0204772949219
150854469.926885,270.8640441894531
150854470.926885,272.50244140625
150854471.926885,226.9751434326172
150854472.926885,261.10601806640625
150854473.926885,261.35894775390625
150854474.926885,297.8623962402344
150854475.926885,294.6646728515625
150854476.926885,264.1310119628906
150854477.926885,255.0705108642578
150854478.926885,271.8447265625
